customerID,Risk_Tier,Risk_Score,Contract,tenure,MonthlyCharges,TotalCharges,PaymentMethod,InternetService,TechSupport,OnlineSecurity,PaperlessBilling,Churn
5383-MMTWC,Critical Risk,11,Month-to-month,8,84.0,613.4,Electronic check,Fiber optic,No,No,Yes,Yes
8270-RKSAP,Critical Risk,11,Month-to-month,9,70.5,597.9,Electronic check,Fiber optic,No,No,Yes,No
6996-KNSML,Critical Risk,11,Month-to-month,1,74.9,74.9,Electronic check,Fiber optic,No,No,Yes,Yes
7638-QVMVY,Critical Risk,11,Month-to-month,7,79.0,522.95,Electronic check,Fiber optic,No,No,Yes,Yes
3244-DCJWY,Critical Risk,11,Month-to-month,1,70.25,70.25,Electronic check,Fiber optic,No,No,Yes,Yes
4086-YQSNZ,Critical Risk,11,Month-to-month,3,80.4,224.05,Electronic check,Fiber optic,No,No,Yes,Yes
5229-PRWKT,Critical Risk,11,Month-to-month,8,86.55,649.65,Electronic check,Fiber optic,No,No,Yes,Yes
5399-ZIMKF,Critical Risk,11,Month-to-month,5,74.65,383.65,Electronic check,Fiber optic,No,No,Yes,No
0195-IESCP,Critical Risk,11,Month-to-month,10,85.25,855.3,Electronic check,Fiber optic,No,No,Yes,Yes
7130-VTEWQ,Critical Risk,11,Month-to-month,8,75.75,606.25,Electronic check,Fiber optic,No,No,Yes,Yes
5196-SGOAK,Critical Risk,11,Month-to-month,1,75.7,75.7,Electronic check,Fiber optic,No,No,Yes,Yes
8580-AECUZ,Critical Risk,11,Month-to-month,1,79.1,79.1,Electronic check,Fiber optic,No,No,Yes,Yes
7394-LWLYN,Critical Risk,11,Month-to-month,2,70.15,123.8,Electronic check,Fiber optic,No,No,Yes,No
7044-YAACC,Critical Risk,11,Month-to-month,4,70.2,280.35,Electronic check,Fiber optic,No,No,Yes,No
5192-EBGOV,Critical Risk,11,Month-to-month,1,85.7,85.7,Electronic check,Fiber optic,No,No,Yes,Yes
7779-LGOVN,Critical Risk,11,Month-to-month,10,86.65,856.65,Electronic check,Fiber optic,No,No,Yes,Yes
6416-TVAIH,Critical Risk,11,Month-to-month,1,68.5,68.5,Electronic check,Fiber optic,No,No,Yes,Yes
9633-XQABV,Critical Risk,11,Month-to-month,3,70.25,229.7,Electronic check,Fiber optic,No,No,Yes,No
4871-JTKJF,Critical Risk,11,Month-to-month,1,69.65,69.65,Electronic check,Fiber optic,No,No,Yes,Yes
1704-NRWYE,Critical Risk,11,Month-to-month,9,80.85,751.65,Electronic check,Fiber optic,No,No,Yes,Yes
2058-DCJBE,Critical Risk,11,Month-to-month,5,69.75,324.6,Electronic check,Fiber optic,No,No,Yes,Yes
1219-NNDDO,Critical Risk,11,Month-to-month,9,76.85,663.55,Electronic check,Fiber optic,No,No,Yes,No
4806-KEXQR,Critical Risk,11,Month-to-month,4,79.9,324.3,Electronic check,Fiber optic,No,No,Yes,Yes
7363-QTBIW,Critical Risk,11,Month-to-month,9,79.75,769.1,Electronic check,Fiber optic,No,No,Yes,No
4702-IOQDC,Critical Risk,11,Month-to-month,1,70.1,70.1,Electronic check,Fiber optic,No,No,Yes,Yes
7465-ZZRVX,Critical Risk,11,Month-to-month,1,70.35,70.35,Electronic check,Fiber optic,No,No,Yes,No
